Format Version,1.23,Take Name,Take 2022-01-13 01.14.23 PM,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2022-01-13 01.14.24.431 ,Capture Start Frame,387744,Total Frames in Take,1228,Total Exported Frames,1228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211
,ID,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
232,11.600000,-0.003371,-0.013554,0.000792,0.999902,-467.904388,80.294716,2322.052979
233,11.650000,-0.004770,-0.013427,-0.000700,0.999898,-467.982178,80.211105,2322.019287
234,11.700000,-0.003824,-0.013456,-0.000522,0.999902,-467.835114,80.323189,2322.076660
235,11.750000,0.000907,-0.013886,0.003156,0.999898,-467.585480,80.665230,2322.280273
236,11.800000,0.002315,-0.014498,0.004536,0.999882,-467.436676,80.755661,2322.360107
237,11.850000,0.002539,-0.014712,0.004541,0.999878,-467.518524,80.759888,2322.426514
238,11.900000,0.001410,-0.014302,0.005084,0.999884,-467.655670,80.469048,2322.260010
239,11.950000,-0.001385,-0.014519,0.002464,0.999891,-467.741791,80.645973,2321.936035
240,12.000000,-0.004403,-0.014065,0.000333,0.999891,-467.974091,80.180664,2321.707520
241,12.050000,-0.007058,-0.012770,-0.000412,0.999894,-468.256744,79.611023,2321.734375
242,12.100000,-0.005956,-0.012314,0.001037,0.999906,-468.449158,79.639503,2321.866699
243,12.150000,-0.005343,-0.012256,0.001726,0.999909,-468.502411,79.656898,2321.967529
244,12.200000,-0.006327,-0.012269,0.000341,0.999905,-468.498047,79.687523,2321.916016
245,12.250000,-0.007673,-0.011568,-0.000111,0.999904,-468.469391,79.485458,2321.885742
246,12.300000,-0.007164,-0.012651,-0.001048,0.999894,-468.456909,79.643456,2321.616455
247,12.350000,-0.007064,-0.013260,-0.001303,0.999886,-468.459747,79.666252,2321.523193
